Nome do negócio;Valor do negócio;Qual feature está indisponível;Motivo fechamento perdido;Data entrada perdido CLOSER;Número de lojas;Observação;Observações de atividades
OakBerry;;;Não é prioridade;06/06/2025 14:35;300;Gostou muito, apresentar para mais 2 pessoas e iniciar piloto no RJ;Sidney vai conversar com o CEO quarta feira 11/09 | Em stand by, passou por uma conversa com o Sidney, só vai retomar a conversa depois ede ter um head de tecnologia para auxiliar na migração | Mandei mensagem para retomarmos a conversa
Mana Poke;;;;09/09/2024 15:17;64;Sócios não querer mudar sistema, mas Franco acaba contrato ano que vem, voltar a falar fim do ano;
Coxinha no pote;;Emissão de DANFE / NF;Não é prioridade;06/05/2025 14:26;40;Pedro vai apresentar para socios e passar feedback / proximos passos;https://api.whatsapp.com/send?phone=558179015000 | Faturamento 50 a 60k tem 30 e poucas lojas atendimento balcão e ifood usam PDV Legal, Livio é o CEO - Pedro esta virando sócio Pedro pediu pra fazer uma apresentação breve antes de começarmos. Usam Sults para franquias e PDV Legal para vendas - 200 reais PDV e 50,00 por loja no Sults. Viu valor, mas o custo assustou. Nosso diferencial ficaria no financeiro, estoque, pessoas e metas, que nao fazem no processo atual Precisa de emissão de Nota, vende Royalties, marketing, embalagens e tem que controlar essas vendas tb
Porto do Sabor;;;;09/09/2024 15:17;35;Acabaram de fechar contrato de 2 anos com Lynx e Sults, mas curtiram o Nola;
Barneys Burguer;;;;09/09/2024 15:17;16;Falou que socios seguiram com outro sistema, nao tivemos oportunidade de apresentar para eles;
San Paolo;;"Auto Atendimento;Totem;Fidelidade;Smart POS GetNet";Feature indisponível;03/06/2025 09:51;57;Aguardando oportunidade para iniciar um piloto;
Grupo Trigo;;;Não é prioridade;06/05/2025 14:26;600;Sidney mandou mensagem, vamos abordar pra vender retaguarda integrada ao GCOM;
Graviola;;;Empresa Encerrada;02/04/2025 13:47;12;Aguardando loja para fazer piloto;
Grupo Rão;;;;09/09/2024 15:17;150;Não vai andar;
Cabana Burger;;;Não é prioridade;16/09/2024 08:54;25;Proximo passo - papo presencial Sidney e socios em SP;
Konioka;;;Não é prioridade;30/10/2024 08:38;30;Marca esta indo mal, problemas societarios;
Usina Burger;;;;09/09/2024 15:17;6;Já tinham assinado com central do franqueado, estão com 1 ano de fidelidade;
TT Burger;;;Esta satisfeito com o sistema atual;14/11/2024 06:28;;;
Parmê;;;Parou de responder;06/01/2026 17:37;;;
Banana Food;450;;Vetado por decisão interna;01/07/2025 17:27;7;;
Umas e Ostras;;Emissão de DANFE / NF;Budget;18/11/2024 09:44;1;;
Hamburgueria Romeu e Julieta;450;"Auto Atendimento;Auto Atendimento - QR Code;Relação Comanda x Mesa";Feature indisponível;29/09/2025 09:40;1;;
Stonia e Milkylab;;;No Show sequenciado;06/05/2025 09:28;27;;
Tio Tomate;299;Cardápio Digital;Feature indisponível;21/10/2024 08:48;2;;
Bobs;;;;03/10/2024 12:10;;;
Hedonê Nutritiva;;;;08/10/2024 11:08;1;;
LeMax -;;;Fechou com concorrente;19/11/2024 11:39;;;
Cabana;;;Não quis ouvir;06/06/2025 14:36;;;
Massa Finna;400;;Feature indisponível;01/07/2025 17:13;1;;
Nema - Ipanema;450;;Vetado por decisão interna;03/06/2025 09:00;25;;
Pizza Anapolis;;"Impressão em etiqueta;Transferencia de mercadoria entre lojas;Relatório Motoboy Impresso;CRM - Disparo de campanha";Parou de responder;06/01/2026 17:37;9;;
Barraca do Pepê;;SmartPOS;Feature indisponível;14/11/2024 06:26;;;
Brivino Brigaderia;450;"SmartPOS;Cardápio Digital;Agendamento de pedidos / Encomendas";Não é prioridade;01/10/2025 11:35;1;;
LE MARMITÊ;;;Faturamento abaixo da SLA;17/10/2024 09:36;1;;
Bistrô 8000;;;Faturamento abaixo da SLA;17/10/2024 09:37;1;;
MOOVI;;;Faturamento abaixo da SLA;17/10/2024 09:37;1;;
Restaurante Seu ciço;;;Não é prioridade;21/10/2024 08:49;1;;
Sr Shiitake - Jardim Sao Luiz;;;No Show sequenciado;06/05/2025 13:55;4;;
Sr Shiitake - Vila Amélia;;;No Show sequenciado;06/05/2025 13:55;4;;
Sheesh burger;480;"Auto Atendimento;SmartPOS;Cardápio Digital;Totem;Fidelidade;SmartPOS Balcão";Parou de responder;01/07/2025 17:11;;;
Padaria Ms Boulanger - Santana;;;Não tem Restaurante;24/10/2024 08:13;0;;
Gurupi Restaurante - Vila Itatiaia;;;Não é prioridade;01/11/2024 15:07;1;;
Sushi Japa;;"Balança;Cardápio Digital;Auto Atendimento;Relação Comanda x Mesa";Feature indisponível;01/11/2024 15:05;15;;
Pimenta Pasteis;480;"Integração;Cardápio Digital;Relação Comanda x Mesa;Auto Atendimento";Integração com outras plataformas;01/07/2025 17:10;7;;
Gauchinho Churrascaria e Pizzaria;;"Balança;Catraca;Cardápio Digital";Já é Cliente;17/06/2025 09:35;2;;
Bulldog Burguer - Ferrovia Pizza;;"Ficha Tecnica unificada por marca;Relatórios CMV - por produto;Transferencia de mercadoria entre lojas;Integração";Parou de responder;01/09/2025 14:47;9;;
MyCost;;"SmartPOS;Totem;Cardápio Digital;Auto Atendimento;Uso Offline";Feature indisponível;06/05/2025 15:06;25;;
Negócios Glauco;;;Não quis ouvir;30/10/2024 08:37;6;;
Rede JK - Padoka;;"Catraca;Leitor código de barras";Feature indisponível;14/11/2024 06:20;5;;
Staff Food;;;No Show sequenciado;06/05/2025 13:53;0;;
Tijolada;;;No Show sequenciado;06/05/2025 13:53;1;;
Adega;;"Leitor código de barras;Relação Comanda x Mesa";Feature indisponível;01/11/2024 15:05;1;;
Delicias de Tiradentes;299;;Sem contato;08/01/2025 14:21;;;
Waipoke;450;Cardápio Digital;Esta satisfeito com o sistema atual;30/06/2025 14:37;3;;
Chavantes Grill;;Balança;Feature indisponível;14/11/2024 06:23;2;;
Mora Burger;;Relatório / Alerta estoque mínimo;Vetado por decisão interna;06/12/2024 12:20;2;;
Na Lenha;;;;11/11/2024 08:50;;;
Confeitaria Isabela Almeida;;"Cardápio Digital;Integração";Budget;17/07/2025 10:22;2;;
Brasa de chão;;"Cardápio Digital;Calculadora de Precificação";Feature indisponível;19/11/2024 16:21;1;;
O BROWNIEST DOCERIA LTDA;;;No Show sequenciado;06/05/2025 13:52;1;;
Gatito Café Bar;;Auto Atendimento - QR Code;Feature indisponível;11/11/2025 14:14;1;;
Barbirô;;Relação Comanda x Mesa;Feature indisponível;06/05/2025 14:28;1;;
Amelie Casa Shopping;;SmartPOS;Feature indisponível;18/11/2024 10:34;;;
Cresco Burger;;;No Show sequenciado;06/05/2025 13:51;1;;
