address,uf,city,label,execution_order,is_active,source,population
"Centro, Rio Branco, AC, Brasil",AC,Rio Branco,centro,1,true,ibge_pop2024_nominatim,387852
"Centro, Maceió, AL, Brasil",AL,Maceió,centro,1,true,ibge_pop2024_nominatim,994464
"Zona Norte, Maceió, AL, Brasil",AL,Maceió,segmento_01,2,true,ibge_pop2024_nominatim,994464
"Zona Sul, Maceió, AL, Brasil",AL,Maceió,segmento_02,3,true,ibge_pop2024_nominatim,994464
"Zona Leste, Maceió, AL, Brasil",AL,Maceió,segmento_03,4,true,ibge_pop2024_nominatim,994464
"Zona Oeste, Maceió, AL, Brasil",AL,Maceió,segmento_04,5,true,ibge_pop2024_nominatim,994464
"Área Central, Maceió, AL, Brasil",AL,Maceió,segmento_05,6,true,ibge_pop2024_nominatim,994464
"Área Comercial, Maceió, AL, Brasil",AL,Maceió,segmento_06,7,true,ibge_pop2024_nominatim,994464
"Área Residencial, Maceió, AL, Brasil",AL,Maceió,segmento_07,8,true,ibge_pop2024_nominatim,994464
"Centro, Arapiraca, AL, Brasil",AL,Arapiraca,centro,1,true,ibge_pop2024_nominatim,243661
"Centro, Macapá, AP, Brasil",AP,Macapá,centro,1,true,ibge_pop2024_nominatim,487200
"Centro, Santana, AP, Brasil",AP,Santana,centro,1,true,ibge_pop2024_nominatim,118353
"Centro, Manaus, AM, Brasil",AM,Manaus,centro,1,true,ibge_pop2024_nominatim,2279686
"Adrianópolis, Manaus, AM, Brasil",AM,Manaus,segmento_02,2,true,ibge_pop2024_nominatim,2279686
"Vieiralves, Manaus, AM, Brasil",AM,Manaus,segmento_03,3,true,ibge_pop2024_nominatim,2279686
"Cidade Nova, Manaus, AM, Brasil",AM,Manaus,segmento_04,4,true,ibge_pop2024_nominatim,2279686
"Alvorada, Manaus, AM, Brasil",AM,Manaus,segmento_05,5,true,ibge_pop2024_nominatim,2279686
"Compensa, Manaus, AM, Brasil",AM,Manaus,segmento_06,6,true,ibge_pop2024_nominatim,2279686
"Japiim, Manaus, AM, Brasil",AM,Manaus,segmento_07,7,true,ibge_pop2024_nominatim,2279686
"Ponta Negra, Manaus, AM, Brasil",AM,Manaus,segmento_08,8,true,ibge_pop2024_nominatim,2279686
"Flores, Manaus, AM, Brasil",AM,Manaus,segmento_09,9,true,ibge_pop2024_nominatim,2279686
"Mauazinho, Manaus, AM, Brasil",AM,Manaus,segmento_10,10,true,ibge_pop2024_nominatim,2279686
"Centro, Itacoatiara, AM, Brasil",AM,Itacoatiara,centro,1,true,ibge_pop2024_nominatim,112520
"Centro, Manacapuru, AM, Brasil",AM,Manacapuru,centro,1,true,ibge_pop2024_nominatim,110691
"Centro, Parintins, AM, Brasil",AM,Parintins,centro,1,true,ibge_pop2024_nominatim,101956
"Centro, Salvador, BA, Brasil",BA,Salvador,centro,1,true,ibge_pop2024_nominatim,2568928
"Barra, Salvador, BA, Brasil",BA,Salvador,segmento_02,2,true,ibge_pop2024_nominatim,2568928
"Pituba, Salvador, BA, Brasil",BA,Salvador,segmento_03,3,true,ibge_pop2024_nominatim,2568928
"Brotas, Salvador, BA, Brasil",BA,Salvador,segmento_04,4,true,ibge_pop2024_nominatim,2568928
"Itapuã, Salvador, BA, Brasil",BA,Salvador,segmento_05,5,true,ibge_pop2024_nominatim,2568928
"Cajazeiras, Salvador, BA, Brasil",BA,Salvador,segmento_06,6,true,ibge_pop2024_nominatim,2568928
"Paralela, Salvador, BA, Brasil",BA,Salvador,segmento_07,7,true,ibge_pop2024_nominatim,2568928
"Comércio, Salvador, BA, Brasil",BA,Salvador,segmento_08,8,true,ibge_pop2024_nominatim,2568928
"Rio Vermelho, Salvador, BA, Brasil",BA,Salvador,segmento_09,9,true,ibge_pop2024_nominatim,2568928
"Lapa, Salvador, BA, Brasil",BA,Salvador,segmento_10,10,true,ibge_pop2024_nominatim,2568928
"Centro, Feira de Santana, BA, Brasil",BA,Feira de Santana,centro,1,true,ibge_pop2024_nominatim,657948
"Zona Norte, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_01,2,true,ibge_pop2024_nominatim,657948
"Zona Sul, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_02,3,true,ibge_pop2024_nominatim,657948
"Zona Leste, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_03,4,true,ibge_pop2024_nominatim,657948
"Zona Oeste, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_04,5,true,ibge_pop2024_nominatim,657948
"Área Central, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_05,6,true,ibge_pop2024_nominatim,657948
"Área Comercial, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_06,7,true,ibge_pop2024_nominatim,657948
"Área Residencial, Feira de Santana, BA, Brasil",BA,Feira de Santana,segmento_07,8,true,ibge_pop2024_nominatim,657948
"Centro, Vitória da Conquista, BA, Brasil",BA,Vitória da Conquista,centro,1,true,ibge_pop2024_nominatim,394024
"Centro, Camaçari, BA, Brasil",BA,Camaçari,centro,1,true,ibge_pop2024_nominatim,319394
"Centro, Juazeiro, BA, Brasil",BA,Juazeiro,centro,1,true,ibge_pop2024_nominatim,254481
"Centro, Lauro de Freitas, BA, Brasil",BA,Lauro de Freitas,centro,1,true,ibge_pop2024_nominatim,217960
"Centro, Itabuna, BA, Brasil",BA,Itabuna,centro,1,true,ibge_pop2024_nominatim,196676
"Centro, Ilhéus, BA, Brasil",BA,Ilhéus,centro,1,true,ibge_pop2024_nominatim,189028
"Centro, Porto Seguro, BA, Brasil",BA,Porto Seguro,centro,1,true,ibge_pop2024_nominatim,181007
"Centro, Barreiras, BA, Brasil",BA,Barreiras,centro,1,true,ibge_pop2024_nominatim,170667
"Centro, Jequié, BA, Brasil",BA,Jequié,centro,1,true,ibge_pop2024_nominatim,168733
"Centro, Alagoinhas, BA, Brasil",BA,Alagoinhas,centro,1,true,ibge_pop2024_nominatim,160662
"Centro, Teixeira de Freitas, BA, Brasil",BA,Teixeira de Freitas,centro,1,true,ibge_pop2024_nominatim,153332
"Centro, Eunápolis, BA, Brasil",BA,Eunápolis,centro,1,true,ibge_pop2024_nominatim,120515
"Centro, Simões Filho, BA, Brasil",BA,Simões Filho,centro,1,true,ibge_pop2024_nominatim,120394
"Centro, Paulo Afonso, BA, Brasil",BA,Paulo Afonso,centro,1,true,ibge_pop2024_nominatim,119128
"Centro, Luís Eduardo Magalhães, BA, Brasil",BA,Luís Eduardo Magalhães,centro,1,true,ibge_pop2024_nominatim,116662
"Centro, Santo Antônio de Jesus, BA, Brasil",BA,Santo Antônio de Jesus,centro,1,true,ibge_pop2024_nominatim,109267
"Centro, Fortaleza, CE, Brasil",CE,Fortaleza,centro,1,true,ibge_pop2024_nominatim,2574412
"Aldeota, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_02,2,true,ibge_pop2024_nominatim,2574412
"Meireles, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_03,3,true,ibge_pop2024_nominatim,2574412
"Montese, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_04,4,true,ibge_pop2024_nominatim,2574412
"Parangaba, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_05,5,true,ibge_pop2024_nominatim,2574412
"Messejana, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_06,6,true,ibge_pop2024_nominatim,2574412
"Benfica, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_07,7,true,ibge_pop2024_nominatim,2574412
"Papicu, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_08,8,true,ibge_pop2024_nominatim,2574412
"Varjota, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_09,9,true,ibge_pop2024_nominatim,2574412
"Cocó, Fortaleza, CE, Brasil",CE,Fortaleza,segmento_10,10,true,ibge_pop2024_nominatim,2574412
"Centro, Caucaia, CE, Brasil",CE,Caucaia,centro,1,true,ibge_pop2024_nominatim,375730
"Centro, Juazeiro do Norte, CE, Brasil",CE,Juazeiro do Norte,centro,1,true,ibge_pop2024_nominatim,303004
"Centro, Maracanaú, CE, Brasil",CE,Maracanaú,centro,1,true,ibge_pop2024_nominatim,249684
"Centro, Sobral, CE, Brasil",CE,Sobral,centro,1,true,ibge_pop2024_nominatim,215286
"Centro, Crato, CE, Brasil",CE,Crato,centro,1,true,ibge_pop2024_nominatim,138232
"Centro, Itapipoca, CE, Brasil",CE,Itapipoca,centro,1,true,ibge_pop2024_nominatim,137892
"Centro, Maranguape, CE, Brasil",CE,Maranguape,centro,1,true,ibge_pop2024_nominatim,108937
