Nome do negócio,Nome do contato no negócio,Qual feature está indisponível,Motivo fechamento perdido,Data entrada perdido SDR,Data entrada perdido CLOSER,Número de lojas,Observação,Observações de atividades
Biscoitê,,SmartPOS;SmartPOS Balcão,Limpeza de Funil,2025-08-14T17:30:29.644Z,,60,Pedro vai apresentar para socios e passar feedback / proximos passos,
Budega,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Geneal,,,Limpeza de Funil,2025-08-14T17:26:59.570Z,,13,"Gostaram do sistema, proposta enviada",
Acai Sunset,,,Limpeza de Funil,2025-08-14T17:28:02.904Z,,18,Esbarrando na dificuldade de ter SPED para lojas proprias,
Root saudável,,,Limpeza de Funil,2025-08-14T17:29:55.617Z,,1,"Respondeu Carol positivamente, mas ainda não respondeu Filippo",
Box Mineiro,,,Limpeza de Funil,2025-08-14T17:30:29.644Z,,25,Bernardo fazendo FUP,
Mana Poke,,,,2024-09-17T00:57:42.093Z,,64,"Sócios não querer mudar sistema, mas Franco acaba contrato ano que vem, voltar a falar fim do ano",
Acai Sunset,,,Limpeza de Funil,2025-01-27T13:32:22.930Z,,18,Esbarrando na dificuldade de ter SPED para lojas proprias,
Waffle King,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,98,"Esfriou, nao consegui encontrar na ABF",
Usina Burger,,,,2024-09-17T00:57:42.179Z,,6,"Já tinham assinado com central do franqueado, estão com 1 ano de fidelidade",
Porto do Sabor,,,,2024-09-17T00:57:42.200Z,,35,"Acabaram de fechar contrato de 2 anos com Lynx e Sults, mas curtiram o Nola",
Mega Matte,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,200,"João Vitor tentou intro, mas eles cagaram...",
Antaris,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,60,Juliano não deu muita abertura,
LeMax,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,12,Quer marcar de ver o Nola rodando em loja Tapí,
Pizzaria do Samba,,,Esta satisfeito com o sistema atual,2024-10-17T20:59:46.887Z,,13,"Finalmente respondeu, mas ainda não ofereceu data para conferência",
The Good Cop Donut,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,36,"Esfriou, nao consegui encontrar na ABF",
Hot N Tender,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,50,"Estao enrolado com feira, vou tentar falar com ele la",
Pimenta Pastéis,,Cardápio Digital;Totem;DFC;Relação Comanda x Mesa,Limpeza de Funil,2025-01-29T17:37:32.791Z,,1,Nao esta respondendo para agendar conferencia,
Grão da Vida - Asa Norte,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,Ainda está sem a conta jurídica.,
Vituccio - Vila Ipojuca,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"Cliente Collact
 
 Cliente falou que não estavam conseguindo acessar o painel da Collact.",
EKS Suplementos - Extrema - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Jardim Secreto - Pompeia,,,Empresa Encerrada,2024-10-15T14:15:26.519Z,,,,
Bendito Tomate - Sao Luiz,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Frossard Pizzaria - Vila Brasília,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,63000000000,
Macarronato - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Tribano - Nossa Senhora das Dores,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Padaria Delicia - Pq Das Laranjeiras,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"25/7 - Sem resposta do contato anterior. Enviei uma mensagem perguntando se ela chegou a ver o que eu mandei. Ela respondeu na hora dizendo que estava viajando e que quando voltar, me retorna.
 22/7 - enviei material explicativo e sugestões de ofertas personalizadas. 
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta.",
Pier 04 Gastrobar - Nossa Senhora Medianeira,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Cheirin Bao - Santo Amaro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
AIQBOM II - Flores,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Tribo Do Acai - Santa Rita Do Sapucai,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Restaurante do Zezinho e Eventos - Comasa,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,04/11 - envio de e-mail com estratégia,
Carvalho Restaurante - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"13/12 -FUP WPP
 05/12 - whats app com estratégia
 
 02/12- e-mail com estratégia
 .
 Restaurante a la carte de comida brasileira caseira",
Queijo E Companhia - Centro II,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,!Desligou na minha cara no meio da conversa e não atendeu mais,
Coffee & Stuff - Moinhos de Vento,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,52000000000,
Saboreateycafe - Pompeia,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,*,
Va Bene Cussy - Higienópolis,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Taiyang Oriental - Janga - Paulista/PE,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"- 13/12 - FUP wpp
 
 - 05/12 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de oferta para reativar clientes e uso do whatsapp para ofertas exclusivas para clientes cadastrados",
