name,url,phone,cnpj,streetAddress,neighborhood,zipcode,rating,email,cuisine,priceRange,regiao,instagramUrl,instagram_profile_url,instagram_user_id,seguidores,perfil_do_lead,punch_line
Temperao Lanches | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/temperao-lanches-costeira-do-pirajubae/72db2e2c-f58d-45f2-b41a-ed5e4c179890,48996721811,95876256000173,Avenida Governador Jorge Lacerda 1408,Costeira do Pirajubaé,88047003,4.7,,"""Lanches""","""$$""",Florianópolis,https://www.instagram.com/temperaochoppbar/,https://www.instagram.com/temperaochoppbar/,1967039468,,"O perfil parece ser de um estabelecimento gastronômico em Florianópolis, especializado em lanches, pizzas e drinks. A frequência de posts sugere uma presença ativa nas redes sociais, com foco em vídeos. Os destaques organizam o conteúdo em categorias específicas, indicando uma variedade de ofertas no cardápio.","Considere explorar como os vídeos podem destacar ainda mais a experiência gastronômica única que o Temperao Lanches oferece em Florianópolis, talvez mostrando o preparo dos lanches ou a interação com os clientes."
Ponto Dog | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/ponto-dog-rio-tavares/4e1ea8c3-0836-453c-a33b-dd8d0acf14c8,48988363574,57132431000129,SC-405 1264,Rio Tavares,88065000,4.7,l_gassen@hotmail.com,"""Lanches""","""$""",Florianópolis,https://www.instagram.com/pontodogoficial/,https://www.instagram.com/pontodogoficial/,67575521072,1.481,"O perfil parece ser de um estabelecimento de lanches localizado em Florianópolis, especificamente no bairro Rio Tavares. A operação foca em sanduíches, como evidenciado pelas imagens de sanduíches recheados com salsicha, milho e carne, acompanhados de molhos. O perfil tem destaques que indicam um cardápio, localização e interações com clientes, sugerindo um foco em atrair e informar o público sobre suas ofertas e localização.","Considere explorar a apresentação visual dos sanduíches em vídeos para destacar a qualidade e os ingredientes frescos, atraindo ainda mais a atenção dos seguidores."
Mo Quirido Marmitas - Floripa | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/mo-quirido-marmitas---floripa-monte-verde/c563ca56-60b8-4e98-801c-d6bee72e86e6,48998600083,28870182000170,Rua do Marfim 354,Monte Verde,88032320,4.7,moquiridooficial@hotmail.com,"""Marmita""","""$""",Florianópolis,https://www.instagram.com/moquirido/,https://www.instagram.com/moquirido/,3859970012,2.731,"O perfil parece estar associado a um serviço de buffet e delivery de marmitas em Florianópolis, com foco em eventos e churrascos. A operação parece ser diversificada, abrangendo desde o cuidado na preparação dos pratos até a música nos eventos. Os destaques sugerem um interesse em mostrar bastidores, o time envolvido e a experiência na mesa. O nome 'Mo Quirido Marmitas' indica uma especialização em marmitas, possivelmente com um toque local, dado o contexto de Florianópolis.","Explore como o uso de vídeos pode destacar a qualidade e o sabor das suas marmitas, potencializando o engajamento com o público. Considere mostrar o processo de preparação para criar uma conexão mais autêntica com seus seguidores."
Cia do Açaí Floripa | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/cia-do-acai-floripa-saco-dos-limoes/1936f9ea-62b9-4a90-b605-d7fe795ed550,48980332886,58221472000154,Servidão Maria Felisbina da Silva 323,Saco dos Limoes,88045670,5,michaelpavan92@gmail.com,"""Açaí""","""$""",Florianópolis,https://www.instagram.com/ciadoacaifloripaoficial/,https://www.instagram.com/ciadoacaifloripaoficial/,45999535946,1.735,"Cia do Açaí Floripa é uma operação de venda de açaí em Florianópolis, destacando-se pela personalização dos produtos, permitindo que os clientes escolham seus acompanhamentos preferidos. A empresa tem uma forte presença no iFood, com excelente avaliação de 5.0 baseada em 584 avaliações, refletindo a qualidade do serviço nos últimos meses. O negócio parece ser gerido por um casal, que valoriza o esforço pessoal e a fé em sua trajetória. As postagens frequentemente mostram sobremesas de açaí com diversos acompanhamentos e destacam a história e o crescimento da empresa.","Considere explorar como a Cia do Açaí Floripa pode continuar a destacar sua personalização e qualidade, talvez com novas combinações de sabores ou promoções exclusivas para fidelizar ainda mais os clientes."
Macarronada Italiana | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/macarronada-italiana-centro/35b663ec-094b-472a-bece-420d8e2f9dd3,48988427217,06276492000129,AV JORNALISTA RUBENS DE ARRUDA RAMOS 2458,CENTRO,88015702,4.9,,"""Comida Italiana""","""$$$$$""",Florianópolis,https://www.instagram.com/macarronadaitalianafloripa/,https://www.instagram.com/macarronadaitalianafloripa/,347483739,,"O perfil 'Macarronada Italiana' é de um restaurante localizado em Florianópolis, especializado em comida italiana. Eles destacam pratos do dia, eventos como Réveillon e informações sobre o grupo, a casa, o menu, horários, localização e contatos. As postagens incluem imagens de pratos italianos, como massas e carnes, e momentos de celebração, sugerindo um ambiente acolhedor e tradicional. O restaurante parece valorizar a gastronomia e a tradição desde 1979.","Considere destacar como o ambiente do restaurante é ideal para momentos especiais, como visto na última postagem com um brinde de vinho, reforçando a experiência gastronômica autêntica e acolhedora que eles oferecem."
Rei do Picadão Trindade - Porções | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/rei-do-picadao-trindade---porcoes-saco-dos-limoes/76e8744b-10be-4fd2-a11e-f0c142766e3f,48991038525,49044594000121,Rua João Motta Espezim 945,Saco dos Limões,88045400,4.8,henriquehlrodrigues@gmail.com,"""Frangos""","""$""",Florianópolis,https://www.instagram.com/reidopicadaosacodoslimoes/,https://www.instagram.com/reidopicadaosacodoslimoes/,48834223759,,"O perfil parece ser de um estabelecimento especializado em porções, com destaque para frango empanado, batatas fritas e outros petiscos. A operação está localizada em Florianópolis, no bairro Saco dos Limões, e utiliza o iFood para delivery. Os destaques incluem informações sobre porções, contato via WhatsApp e interações com clientes, sugerindo um foco em atendimento ao cliente e comunicação direta.","Considere explorar como o vídeo mais recente pode ser utilizado para engajar ainda mais os clientes, talvez mostrando o preparo das porções ou destacando a qualidade dos ingredientes."
Flow - American Burger | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/flow---american-burger-saco-dos-limoes/db16ee30-959d-4683-b6d3-08b626632e5c,48992098808,42612883000130,Rua José Brognoli 128,Saco dos Limões,88045520,4.9,thichina@hotmail.com,"""Lanches""","""$""",Florianópolis,https://www.instagram.com/flowburgers/,https://www.instagram.com/flowburgers/,3631491203,8.480,"O perfil parece ser de um negócio de hambúrgueres localizado em Florianópolis, mais especificamente no bairro Saco dos Limões. A operação está focada na entrega de lanches, com destaque para hambúrgueres acompanhados de batatas fritas e refrigerantes, como Coca-Cola. Os destaques do perfil incluem informações sobre delivery, horários de funcionamento, cardápio, feedbacks e loja. A presença de referências a plataformas como iFood sugere que o estabelecimento está integrado a serviços de entrega online.","Considere explorar novas opções de molhos ou acompanhamentos para destacar ainda mais seus hambúrgueres nas entregas, aproveitando o apelo visual e a experiência gastronômica que você já promove."
Dog do Mestre | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/dog-do-mestre-trindade/1ec5659e-c3d2-4d5d-876a-bb77d5ece36b,48988161218,49894979000188,Rua Lauro Linhares 535,Trindade,88036002,4.9,rodrigofabiandecamargo@hotmail.com,"""Lanches""","""$""",Florianópolis,https://www.instagram.com/dogdomestre/,https://www.instagram.com/dogdomestre/,48101131403,3.457,"O perfil 'Dog do Mestre' é um estabelecimento de lanches localizado em Florianópolis, especializado em hot dogs e hambúrgueres. Com dois anos de operação, eles destacam seu cardápio e serviços de delivery. A presença no iFood sugere um foco em conveniência para os clientes. A imagem de um hambúrguer com molho e a frase 'O melhor Hot Dog de Floripa!' indicam uma ênfase na qualidade e diferenciação dos produtos.",Considere explorar como o vídeo recente pode destacar ainda mais a experiência única de seus lanches e atrair novos clientes através de conteúdo visual envolvente.
Salgados Coxitos | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/salgados-coxitos-trindade/43f86e15-22a9-4f89-bf76-d2fc6e553f8d,48998501001,50531478000116,Rua Alba Dias Cunha 244,Trindade,88036020,4.9,coxitossalgados@gmail.com,"""Lanches""","""$""",Florianópolis,https://www.instagram.com/coxitosoficial/,https://www.instagram.com/coxitosoficial/,38485554222,,"O perfil parece estar relacionado a um negócio de lanches em Florianópolis, especificamente no bairro Trindade, com foco em salgados. Atualmente, o perfil está promovendo vagas abertas, sugerindo que estejam em expansão ou buscando novos colaboradores. Além disso, há um destaque sobre horários, o que pode indicar informações sobre funcionamento ou disponibilidade. O conteúdo recente é predominantemente em formato de vídeo, o que pode atrair mais engajamento visual dos seguidores.","Considere destacar como a criação de conteúdo em vídeo pode aumentar o engajamento dos clientes e impulsionar as vendas dos salgados, especialmente em uma plataforma como o iFood."
D&#x27;dog Burguer Trindade | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/ddog-burguer-trindade-trindade/528f672f-4273-472b-91b0-df49ab3ca655,48996490020,27491882000191,RUA FRANCISCO GOULARTE 42,TRINDADE,88036570,4.8,contato@gocontabilidade.com.br,"""Lanches""","""$$""",Florianópolis,https://www.instagram.com/ddogfloripa/,https://www.instagram.com/ddogfloripa/,1272297651,4.636,"O perfil da D'Dog Floripa apresenta uma operação focada em lanches, especialmente hambúrgueres e cachorros-quentes, com destaque para a qualidade e sabor dos produtos. A empresa parece ter uma presença ativa nas redes sociais, promovendo seus produtos com imagens atraentes e novidades como maioneses artesanais. A localização em Florianópolis, no bairro Trindade, sugere um foco local, e a presença no iFood indica a oferta de serviços de entrega.",Considere explorar o apelo visual dos vídeos para destacar ainda mais a qualidade dos seus produtos e atrair novos clientes.
Dom Lugão Pizzaria | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/dom-lugao-pizzaria-trindade/61dd37c7-ab2d-44ff-bbde-336a38e9de29,48998000419,50408747000151,Rua Humberto de Campos 89,Trindade,88036420,4.9,thais.zinho@gmail.com,"""Pizza""","""$""",Florianópolis,,,,,,
