name,url,phone,cnpj,streetAddress,neighborhood,zipcode,rating,email,cuisine,priceRange,regiao
Gigga&#x27;s Pizzaria (Av.Amadeo Barbosa) | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/giggas-pizzaria-avamadeo-barbosa-areal/5f4c42a6-d58d-4670-b392-34ee84513acf,40030053,18852085000100,Avenida Amadeu Barbosa 1188,Areal,69905853,4.8,,"""Lanches""","""$""",Rio Branco
Espetinho de Ouro | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/espetinho-de-ouro-santa-ines/f3975414-0ffd-45c8-8e7a-2e9fb2eea484,999461525,53539713000194,RUA SANACRE 301,SANTA INES,69907731,4.9,,"""Carnes""","""$""",Rio Branco
D&#x27;terra Restaurante e Pizzaria | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/dterra-restaurante-e-pizzaria-triangulo-velho/fcdf88d0-1491-43a7-b1bb-2166d8e59d55,30281998,45773730000163,Via Chico Mendes 528,Triangulo Velho,69906210,4.8,,"""Pizza""","""$$$""",Rio Branco
Padaria Pertutti | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/padaria-pertutti-triangulo-novo/5d1953a9-a80f-4e80-87da-d719a2a5c2d6,992123515,01450817000124,Via Chico Mendes 2030,Triangulo Novo,69906214,4.9,,"""Padaria""","""$$""",Rio Branco
Churrascaria Canaã | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/churrascaria-canaa-seis-de-agosto/2fad75ba-1ff8-49cf-a20b-13c14270fca8,992242670,11533212000231,Rua Cunha Matos 291,Seis de Agosto,69905590,4.9,,"""Marmita""","""$$""",Rio Branco
Big Burg | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/big-burg-conjunto-rio-lino/a5be0a70-f229-465c-8741-ec1e79ea0b03,999784413,45867185000174,Rua Tarauacá 14,Conjunto Rio Lino,69917400,4.4,,"""Lanches""","""$""",Rio Branco
El Shaday Gameleira | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/el-shaday-gameleira-seis-de-agosto/ff5edee6-ab0a-4071-a576-5df5fe00ee54,40030053,35483755000179,RUA CUNHA MATOS 339,SEIS DE AGOSTO,69905590,4.8,,"""Açaí""","""$""",Rio Branco
Picanha Mix Shopping | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/picanha-mix-shopping-floresta-sul/9880ea57-8812-4a0b-b279-15c569e54319,999018803,21019122000108,Estrada da Floresta 2320,Floresta Sul,69912900,4.8,,"""Comida Brasileira""","""$""",Rio Branco
Atelier das Gostosuras - Doces I Bolos I Salgados | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/atelier-das-gostosuras---doces-i-bolos-i-salgados-bosque/03a35eab-531c-481b-b53c-ac53655c3349,992113350,40439656000120,RUA PERNAMBUCO 435,BOSQUE,69900306,4.8,,"""Doces &amp; Bolos""","""$""",Rio Branco
American Chicken - Frango Frito | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/american-chicken---frango-frito-bosque/1d62fe2b-02d9-4f9a-8af7-9834c8c25e77,999128504,25058042000104,Rua Pernambuco 736,Bosque,69900421,4.8,,"""Lanches""","""$$$""",Rio Branco
Açaíteria Ki Delícia | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/acaiteria-ki-delicia-manoel-juliao/2821cea5-c1e8-4830-8efb-9e15b29dcfc8,999606151,50955028000150,Rua Áureliano Lopes 47,Manoel Julião,69918414,4.8,,"""Açaí""","""$""",Rio Branco
Soberanos Burger  | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/soberanos-burger-jardim-de-alah/35c98278-5906-4e48-8e2b-2d03a704e72d,999884999,55164939000183,Rua Fátima Maia 405,Jardim de Alah,69915572,4.9,,"""Hambúrguer""","""$""",Rio Branco
A Princesinha Churrascaria e Pizzaria | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/a-princesinha-churrascaria-e-pizzaria-centro/3e08aeb8-3afe-49e9-82e6-9269e7d772ad,40030053,53060070000100,Travessa da Catedral 14,Centro,69900094,4.7,,"""Cozinha Rápida""","""$$""",Rio Branco
Picanha Mix | Rio Branco | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/picanha-mix-jardim-de-alah/6eeaf912-c3bd-4a8d-85ec-e522250de635,999225037,21019122000108,Rua Fátima Maia 390,Jardim de Alah,00069912,4.7,,"""Comida Brasileira""","""$$$""",Rio Branco
Jair Deliveryy Marmitaria | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/jair-deliveryy-marmitaria-mascarenhas-de-morais-abraao-alab/10b3da71-a0bf-4ade-abb5-921767fd5be4,999848659,42455079000195,Rua Major Ladislau Ferreira 487,Mascarenhas de Morais Abraao Alab,69900279,4.7,,"""Marmita""","""$""",Rio Branco
Getsemani Doces e Salgados | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/getsemani-doces-e-salgados-tancredo-neves/637e1aba-e1c4-429c-846f-8bf275a82a40,999727175,14072266000154,Rua 25 de Dezembro 643,Tancredo Neves,69921713,4.8,,"""Salgados""","""$""",Rio Branco
Bob’s Drive Parque Maternidade | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/bobs-drive-parque-maternidade-bosque/63ca9c28-de19-4401-8393-82490fa145c3,40032665,08342951000150,TRAVESSA ALAGOAS I 21,BOSQUE,69900400,4.6,,"""Lanches""","""$""",Rio Branco
Lins Marmitaria Rápida e Barata | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/lins-marmitaria-rapida-e-barata-conquista/701d5845-a220-4e34-8e96-2f2e9642d5fc,999489070,10484605000159,Rua Valdomiro Lopes 770,Conquista,69918764,4.8,,"""Marmita""","""$""",Rio Branco
Deck Bib&#x27;s - Esfihas Pizzas &amp; Coxinhas | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/deck-bibs---esfihas-pizzas--coxinhas-dom-giocondo/993beddd-ea25-40f6-add0-1030f7b29e7a,21028353,26136464000113,RUA DOS PROFESSORES 0,DOM GIOCONDO,69900291,4.9,,"""Lanches""","""$$$""",Rio Branco
Mimu´s Doceria | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/mimus-doceria-novo-horizonte/9e0f22c8-d156-485e-b5bf-c4ce7e97de4c,999127175,45119629000193,Estrada da Floresta 731,Novo Horizonte,69911422,4.9,,"""Doces &amp; Bolos""","""$""",Rio Branco
Espetinhos do Lucas | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/espetinhos-do-lucas-conjunto-adalberto-sena/c2af461d-d142-485d-8521-e6312cd1dbee,999570292,12076812000108,Rua Gavião 2024,Conjunto Adalberto Sena,69921198,4.8,,"""Lanches""","""$$""",Rio Branco
Tiaguenta do Lânio - lanche | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/tiaguenta-do-lanio---lanche-vitoria/05204a2b-2b4e-4d81-b04a-4394a1393835,984044848,54869197000129,Avenida Boa Ventura 510,Vitória,69901800,4.8,,"""Comida Brasileira""","""$""",Rio Branco
Picanha Mix Parque | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/picanha-mix-parque-capoeira/4528bf17-249e-438e-9dea-cb8376536209,999093030,21019122000108,Travessa Felisbela do Nascimento 285,Capoeira,69905008,4.8,,"""Carnes""","""$""",Rio Branco
Yoshida Sushi Delivery | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/yoshida-sushi-delivery-conjunto-esperanca/4a9e0609-3327-4da0-ba82-5923c8f149c3,999483522,36637554000141,Rua Raimundo Melo 157,Conjunto Esperança,69915130,4.7,,"""Comida Japonesa""","""$""",Rio Branco
Two Guys Burger - Smash Burger | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/two-guys-burger---smash-burger-bosque/56664217-3ca2-418b-a7a3-e7a36ac8a90b,992596368,25058042000104,RUA PERNAMBUCO 755,BOSQUE,69900433,4.9,,"""Lanches""","""$""",Rio Branco
Imperium Lanches | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/imperium-lanches-nova-esperanca/6398f9cb-2b67-4fb7-8b94-9278ab2a4783,981088608,48942719000178,Rua Cristo Rei 239,Nova Esperança,69915216,4.6,,"""Lanches""","""$""",Rio Branco
Salgados do Irmão | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/salgados-do-irmao-geraldo-fleming/9ff02959-fd21-4ae0-a413-2cbff6dade57,32280950,23814682000171,Rua valdomiro lopes 1220,Geraldo fleming,69918850,4.9,,"""Salgados""","""$$""",Rio Branco
Na Brasa Burguer | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/na-brasa-burguer-paz/bc1a0716-eec7-4513-8767-23f0bd969c50,992575157,05121497000110,Estrada Alberto Torres 2559,Paz,69919230,4.4,,"""Lanches""","""$""",Rio Branco
Deck Sushi - Delivery Rápido | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/deck-sushi---delivery-rapido-bosque/e52b6c34-b43f-4fa6-a024-bbcb797ea8c5,33016224,23446287000345,Avenida Getúlio Vargas 1782,Bosque,69900613,4.9,,"""Comida Japonesa""","""$$$$$""",Rio Branco
Picanha Mix Isaura Parente | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/picanha-mix-isaura-parente-isaura-parente/ea19c31c-924c-45ad-afd5-50dba217515c,999744771,12770586000152,R. Isaura Parente 1772,Isaura Parente,69918270,4.7,,"""Comida Brasileira""","""$$""",Rio Branco
Restaurante Mata Nativa - Floresta | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/restaurante-mata-nativa---floresta-lba-vila-betel-ii/ecd8e1dd-1169-4c12-afa4-466443242b20,32213004,51444746000125,ESTRADA DO CALAFATE 965,LBA VILA BETEL II,69915196,4.9,,"""Comida Brasileira""","""$""",Rio Branco
Insano Lanches | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/insano-lanches-placas/1b1a7861-6142-4a2d-bc23-8d0697661efd,984127028,34279822000175,Rua Jarbas Passarinho 500,Placas,69903190,4.8,,"""Lanches""","""$$""",Rio Branco
Açaiteria Gourmet | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/acaiteria-gourmet-nova-esperanca/586b0c5f-31db-4aa6-a8d6-5d43e6ff6ae0,992030224,30036256000110,Estrada do Calafate 615,Nova Esperança,69915196,4.9,,"""Açaí""","""$$""",Rio Branco
A Baronesa | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/a-baronesa-conjunto-manoel-juliao/6f25a33c-c232-48b4-ba2e-4d27354d4a80,40030053,30145497000105,R Marcelino Machado 43,Conjunto Manoel Julião,69918442,4.8,,"""Padaria""","""$""",Rio Branco
Restaurante e Pizzaria Lins | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/restaurante-e-pizzaria-lins-conquista/9a3297d3-cff8-4d63-9f0d-f6f6a5683f24,999489070,10484605000159,Rua Valdomiro Lopes 770,Conquista,69918764,4.8,,"""Comida Brasileira""","""$""",Rio Branco
Lanchonete do Jacaré | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/lanchonete-do-jacare-manoel-juliao/cb48553a-3aa1-40e1-8ef1-c8539934b899,40030053,35711685000169,Rua do Comercio 234,Manoel Julião,69918440,4.9,,"""Lanches""","""$$""",Rio Branco
Feijão no Prato Restaurante e Marmitaria | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/feijao-no-prato-restaurante-e-marmitaria-capoeira/f9fad2f4-6fd6-4843-9326-377979fdda2a,920009226,52362759000118,Travessa Campo do Rio Branco 291,Capoeira,69905022,4.8,,"""Marmita""","""$""",Rio Branco
Tiaguenta Manoel Julião | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/tiaguenta-manoel-juliao-conjunto-manoel-juliao/fa3f0099-9fca-4e5e-bd4e-c2640900db57,999302235,17018902000158,Rua Marcelino Machado 417,Conjunto Manoel Julião,69918442,4.6,,"""Lanches""","""$""",Rio Branco
Mais Coxinhas | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/mais-coxinhas-vilage-tiradentes/fac14de2-3c5a-48e7-9888-5efb402128be,40032665,33441157000101,Rua Sebastião Nunes da Silva 307,Vilage Tiradentes,69914104,5,,"""Lanches""","""$""",Rio Branco
Tudão Lanches | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/tudao-lanches-conjunto-manoel-juliao/fd503cf7-647e-46fa-ac1b-6c31e13559a4,21021485,20282076000164,Rua Aderbal Brasil 116,Conjunto Manoel Julião,69918430,4.7,,"""Lanches""","""$""",Rio Branco
Império do Tacacá | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/imperio-do-tacaca-ivete-vargas/1014eaab-854a-4da2-ac9b-209af98eeb61,999395343,41998389000193,Rua Leblon 530,Ivete Vargas,69900190,4.9,,"""Típica do Norte""","""$""",Rio Branco
Açaí Mania | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/acai-mania-bosque/3c6c75fe-a505-46e8-9889-3f5b392755e9,999084862,34070371000161,Avenida Getúlio Vargas 2211,Bosque,69900607,4.9,,"""Açaí""","""$""",Rio Branco
O Boneco Pizzaria e Restaurante | RIO BRANCO | iFood,https://www.ifood.com.br/delivery/rio-branco-ac/o-boneco-pizzaria-e-restaurante-aviario/50b722ef-122f-4ab6-97fb-44846346e64b,40030053,11425467000108,Estrada do Aviário 149,Aviário,69900830,4.9,,"""Pizza""","""$$$""",Rio Branco
