name,url,phone,cnpj,streetAddress,neighborhood,zipcode,rating,email,cuisine,priceRange
Pizzaria Pappinne | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/pizzaria-pappinne-vila-palestina/04e96d2d-98a4-4d40-abaa-5b4828e7e5cc,997044669,60354930000175,Rua das Cruzadas 158,Vila Palestina,29145820,4.6,false,"""Pizza""","""$"""
Maninho Lanches | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/maninho-lanches-vale-encantado/3eb50770-fb4b-45cf-9e69-baf6934df422,30313613,54106572000189,Avenida São Gabriel da Palha 79,Vale Encantado,29113300,4.8,false,"""Lanches""","""$$"""
Açaí Fc | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/acai-fc-sao-pedro/be6560d0-89c9-443f-a9d7-a0d122d63a14,997472992,38291729000137,Rua Independência 72,São Pedro,29030150,4.9,false,"""Açaí""","""$"""
Pizzaria Predileta - São Pedro | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizzaria-predileta---sao-pedro-nova-palestina/e36285d8-a49f-44f2-a00d-bad51abd037a,995210899,58683876000160,Rodovia Serafim Derenzi 6091,Nova Palestina,29032410,4.7,false,"""Pizza""","""$"""
Daris Burguer | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/daris-burguer-centro/0b48a6a3-9cef-4f35-8573-06dd9d636602,997314567,27296997000125,Rua Gama Rosa 114,Centro,29015100,4.7,false,"""Lanches""","""$$"""
Casa do Tropeiro | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/casa-do-tropeiro-cobilandia/3904cfbc-41ef-4dfd-a0cd-83d15a45f94a,40032665,14240554000170,AVENIDA RIO MARINHO 103,COBILANDIA,29111620,4.9,false,"""Comida Brasileira""","""$"""
Family Lanches e Porções | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/family-lanches-e-porcoes-cobilandia/683d339d-8266-4ee0-a7df-a3c82e6915fd,996591989,31590989000164,Avenida João Francisco Gonçalves 686,Cobilândia,29111300,4.7,false,"""Lanches""","""$"""
Pizzaria Lá Beka - São Pedro | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizzaria-la-beka---sao-pedro-nova-palestina/d7455c4d-2cbf-4d67-bb11-311e27a2e391,997577587,54222739000177,Rua do Cajú 26,Nova Palestina,29032378,4.7,false,"""Pizza""","""$"""
Capixabão Burger Original - Hamburgueria | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/capixabao-burger-original---hamburgueria-campo-grande/38d7244b-85ff-4e91-be0f-14e4efe72a5a,30913048,07878711000102,Avenida Getulio Vargas 77,Campo Grande,29146070,4.8,false,"""Lanches""","""$$"""
Franguinho Du Max | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/franguinho-du-max-industrial-do-alecrim/39a26915-38ec-4f18-8d33-6c2927d01f93,995009301,14208335000104,AVENIDA ANA SIQUEIRA 1005,Industrial do Alecrim,29118075,4.8,false,"""Lanches""","""$$$"""
Dalice Açaí | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/dalice-acai-resistencia/916a4a9b-3255-4a6a-8b21-daf478908dbc,998046489,41445084000154,Rua São Sebastião 485,Resistência,29032545,4.7,false,"""Açaí""","""$"""
Dom Esfiha - Vila Velha | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/dom-esfiha---vila-velha-cobilandia/956e4e4b-31cb-42a2-b7a0-2842ee5e0733,998980989,18219447000111,Praça Vereador Sebastião Cibien 1227,Cobilândia,29111690,4.8,false,"""Comida Árabe""","""$$$"""
Açaí Dúu Mirão | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/acai-duu-mirao-sotelandia/9b68e9a5-68c3-40f9-875b-94a6cd1b8d29,998973603,55111300000130,Rua Monteiro Lobato 15,Sotelândia,29140663,4.9,false,"""Açaí""","""$"""
