name,url,phone,cnpj,streetAddress,neighborhood,zipcode,rating,email,cuisine,priceRange,regiao,instagramUrl,instagram_profile_url,instagram_user_id,seguidores,perfil_do_lead,punch_line
O Pantaneiro | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/o-pantaneiro-jardim-das-industrias/2f53d00a-8118-498f-9a74-0f17994a51e6,1288257190,46461367000103,Rua Nelson César de Oliveira 111,Jardim das Indústrias,12240220,4.9,ednaldomorais35@hotmail.com53,"""Comida Brasileira""","""$""",Sao Jose Dos Campos,https://www.instagram.com/pantaneiro_restaurante_/,https://www.instagram.com/pantaneiro_restaurante_/,53188875810,572,"O Pantaneiro Restaurante é um estabelecimento especializado em comida brasileira localizado em São José dos Campos, no bairro Jardim das Indústrias. A operação inclui um self-service com pratos como peixe frito, pastel de queijo e frango com quiabo, além de uma variedade de saladas. Os destaques do Instagram mostram informações sobre o menu, telefone e localização.",Gancho: elogie o peixe frito sequinho que todos amam.
Monster Burguer - Pq. Industrial | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/monster-burguer---pq-industrial-parque-industrial/398fea3e-6474-474b-94f3-72fc24c83f91,1296212792,36746467000122,Rua Sena Madureira 827,Parque Industrial,12237020,4.9,andremsena@gmail.com,"""Lanches""","""$$$""",Sao Jose Dos Campos,https://www.instagram.com/monsterburgr/,https://www.instagram.com/monsterburgr/,67272719557,1.353,"Monster Burguer é um estabelecimento especializado em lanches, localizado em São José dos Campos, no bairro Parque Industrial. O restaurante oferece hambúrgueres artesanais com ingredientes variados, como alface, tomate, queijo derretido, cebolas empanadas, bacon e molho barbecue. Seus pratos são servidos em um ambiente rústico e são acompanhados por batatas fritas. A operação inclui promoções e pedidos online por WhatsApp e iFood.",Gancho: destaque a criatividade da promoção temática de Halloween.
Senhor dos Lanches | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/senhor-dos-lanches-bosque-dos-eucaliptos/3ea887f5-3919-45cf-88c2-eb032e2a52cd,1298872331,28267212000159,Av ouro fino 818,Bosque dos Eucaliptos,12233400,4.7,krueger_joao97@hotmail.com,"""Lanches""","""$""",Sao Jose Dos Campos,https://www.instagram.com/maisesfiha_bosqueeucaliptos/,https://www.instagram.com/maisesfiha_bosqueeucaliptos/,49272988381,2.933,"Me's Esfiha é um estabelecimento localizado no Bosque dos Eucaliptos, São José dos Campos, especializado em esfihas e promoções gastronômicas. A operação inclui delivery e reservas, além de organizar eventos comemorativos, como o Dia das Crianças, com atividades como pintura de rosto. Os destaques no Instagram incluem promoções, horários de funcionamento e opções de delivery.",Gancho: destaque o evento do Dia das Crianças e a interação com personagens como Mickey e Minnie.
Pizzaria Pin Pizzas | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pizzaria-pin-pizzas-jardim-oriente/41cbf9aa-b11f-4548-aeee-60591ee504d1,12988341360,30399597000150,Rua Tottoni 593,Jardim Oriente,12236020,4.5,edineiamaria2008@hotmail.com,"""Pizza""","""$""",Sao Jose Dos Campos,https://www.instagram.com/popular/,https://www.instagram.com/popular/,17774372628,,"É uma pizzaria localizada no bairro Jardim Oriente, em São José dos Campos, especializada em pizzas e operando através do iFood.",Gancho: destaque a popularidade das pizzas no iFood em São José dos Campos.
Carangos Burger - Lanches e Açaí | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/carangos-burger---lanches-e-acai-jardim-das-industrias/a92d9543-1280-4429-9abf-676406ec22a9,12988016647,27098539000181,Avenida Engenheiro Francisco Prestes Maia 845,Jardim das Indústrias,12240680,4.8,priscila-lobo@hotmail.com,"""Lanches""","""$""",Sao Jose Dos Campos,https://www.instagram.com/carangosburger/,https://www.instagram.com/carangosburger/,42274252012,2.153,"Carangos Burger é um estabelecimento especializado em lanches e açaí, localizado em São José dos Campos, no bairro Jardim das Indústrias. A operação inclui um serviço de delivery, oferecendo hambúrgueres altamente avaliados por seus clientes, com destaque para a qualidade e sabor dos lanches. Os destaques no Instagram mostram o horário de funcionamento e o serviço de entrega.",Gancho: mencione os descontos da Black Week para atrair interesse imediato.
Zangão Lanches | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/zangao-lanches-cidade-morumbi/abef5b63-6ec4-4915-b785-0a4279664e51,12982131562,35016812000100,Avenida Elisio Galdino Sobrinho 169,Cidade Morumbi,12236740,4.9,carlosmedeiro@ig.com.br,"""Lanches""","""$""",Sao Jose Dos Campos,https://www.instagram.com/zangaolanches/,https://www.instagram.com/zangaolanches/,47966171927,2.011,"Zangão Lanches é um estabelecimento em São José dos Campos especializado em lanches e açaí. A operação inclui entrega via iFood e atendimento no local, com horário de funcionamento das 18h00 às 03h00, exceto às quartas-feiras. Os destaques do Instagram mostram informações sobre como pedir pelo iFood, localização, inauguração e feedback dos clientes.",Gancho: destaque o horário estendido de funcionamento para atrair clientes noturnos.
A Caseira Marmitaria | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/a-caseira-marmitaria-conjunto-residencial-trinta-e-um-de-marco/b81c30c4-dd82-4462-a162-4a26421ed9a0,12982650485,31584257000161,Avenida George Eastman 1095,Conjunto Residencial Trinta e Um de Marco,12237640,4.7,iadineoliveira2@gmail.com,"""Marmita""","""$""",Sao Jose Dos Campos,,,,,,
Dgustee Cozinha Artesanal - Marmitaria | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/dgustee-cozinha-artesanal---marmitaria-jardim-oriente/f56c4113-7bf4-44c3-9446-20b12eaf7344,12982191335,36523598000140,Rua Tottoni 606,Jardim Oriente,12236020,4.8,taty.oliveira2406@gmail.com,"""Marmita""","""$""",Sao Jose Dos Campos,https://www.instagram.com/dgusteebr/,https://www.instagram.com/dgusteebr/,22417165997,2.105,"Dgustee Cozinha Artesanal é um restaurante e marmitaria localizado em São José dos Campos, especializado em oferecer refeições como feijoada e pratos de peixe frito. A operação inclui serviços de delivery, com destaque para a apresentação cuidadosa dos pratos e o uso de ingredientes frescos, como ervas e limão.",Gancho: elogie a apresentação dos pratos de peixe frito no último post.
Marmitaria Primatas Food - Marmitas | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/marmitaria-primatas-food---marmitas-cidade-morumbi/99c97a47-bae7-4a7e-8992-f9cca0c4e873,1288411617,50039745000132,Rua Zélia Albuquerque dos Santos 320,Cidade Morumbi,12236680,4.9,danilofares.comercial@gmail.com,"""Comida Brasileira""","""$""",Sao Jose Dos Campos,https://www.instagram.com/primatasfoodsjc/,https://www.instagram.com/primatasfoodsjc/,45305925677,1.170,"É uma marmitaria chamada Marmitaria Primatas Food, localizada em São José dos Campos, especializada em comida brasileira. A operação inclui a preparação de marmitas, destacando-se pela variedade e pela qualidade dos preparos. Os destaques no perfil mostram tanto os preparos das refeições quanto o feedback dos clientes.",Gancho: comente sobre a apresentação atraente dos pratos nos vídeos mais recentes.
K&amp;k Combos Delivery | SAO JOSE DOS CAMPOS | iFood,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/kk-combos-delivery-bosque-dos-eucaliptos/a9b16058-18f2-4f27-babf-99b0725d86d3,1288713358,44869596000136,Avenida Ouro Fino 822,Bosque dos Eucaliptos,12233400,4.7,pattykrueger@hotmail.com,"""Lanches""","""$$""",Sao Jose Dos Campos,https://www.instagram.com/kekburguer/,https://www.instagram.com/kekburguer/,64256233479,,"É um restaurante especializado em rodízios e lanches localizado em São José dos Campos. Oferece um rodízio variado que inclui porções, mini burguers, sanduíches, hot dogs e opções doces. O estabelecimento também possui um rodízio premium infantil e ofertas especiais para crianças. Está presente no iFood sob o nome K&K Combos Delivery.",Gancho: destaque o atrativo preço do rodízio e a variedade de opções incluídas.
